id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
formal_0,Women,Apparel,Topwear,Shirts,Lavender,All,2026,Formal,Women Lavender Striped Formal Shirt
formal_1,Women,Apparel,Topwear,Shirts,Pink,All,2026,Formal,Women Pink Formal Shirt
formal_2,Women,Apparel,Topwear,Shirts,Blue,All,2026,Formal,Women Light Blue Formal Shirt
formal_3,Women,Apparel,Topwear,Shirts,White,All,2026,Formal,Women White Formal Shirt
formal_4,Women,Apparel,Topwear,Shirts,Grey,All,2026,Formal,Women Grey Slim Fit Formal Shirt
formal_5,Women,Apparel,Topwear,Shirts,Blue,All,2026,Formal,Women Blue Striped Formal Shirt
formal_6,Women,Apparel,Topwear,Shirts,Pink,All,2026,Formal,Women Pink Striped Formal Shirt
formal_7,Women,Apparel,Topwear,Shirts,Green,All,2026,Formal,Women Olive Green Formal Shirt
formal_8,Women,Apparel,Topwear,Shirts,Peach,All,2026,Formal,Women Peach Formal Shirt
formal_9,Women,Apparel,Topwear,Shirts,Navy Blue,All,2026,Formal,Women Navy Blue Formal Shirt
